Name,Type,Popularity,Price,Rating
"Taylor Fladgate Vintage Port, Portugal",Port Blend Red,154th,168,95
"W & J Graham's Vintage Port, Portugal",Port Blend Red,296th,177,94
"Dow's Vintage Port, Portugal",Port Blend Red,330th,171,94
"Fonseca Vintage Port, Portugal",Port Blend Red,348th,153,94
"Casa Ferreirinha 'Barca Velha', Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,484th,"1,114",93
"Warre's Vintage Port, Portugal",Port Blend Red,534th,160,93
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,572nd,"1,833",97
"Quinta do Noval Vintage Port, Portugal",Port Blend Red,620th,166,94
"Niepoort Vintage Port, Portugal",Port Blend Red,795th,149,94
"Kopke Colheita Port, Portugal",Port Blend Red,892nd,168,91
"P+S Prats & Symington Chryseia, Douro, Portugal",Touriga Franca - Touriga Nacional,979th,145,93
"Taylor Fladgate Late Bottled Vintage Port, Portugal",Port Blend Red,"1,007th",34,89
"Quinta do Vale Meao Tinto, Douro, Portugal",Portuguese Red Blend,"1,106th",272,94
"Cockburn's Vintage Port, Portugal",Port Blend Red,"1,335th",125,91
"Cartuxa Pera Manca Tinto, Alentejo, Portugal",Portuguese Red Blend,"1,357th",754,93
"W & J Graham's Late Bottled Vintage Port, Portugal",Port Blend Red,"1,399th",34,89
"Taylor Fladgate Quinta de Vargellas Vintage Port, Portugal",Port Blend Red,"1,691st",97,92
"Sandeman Vintage Port, Portugal",Port Blend Red,"1,737th",183,91
"Casa Ferreirinha Quinta da Leda, Douro, Portugal",Portuguese Red Blend,"1,760th",84,92
"W & J Graham's Single Harvest Tawny Port, Portugal",Port Blend Red,"1,789th",505,93
"Quinta do Crasto Vinha Maria Teresa, Douro, Portugal",Portuguese Red Blend,"1,802nd",384,94
"Niepoort Charme Tinto, Douro, Portugal",Portuguese Red Blend,"1,824th",108,91
"Quinta do Vesuvio Single Quinta Vintage Port, Portugal",Port Blend Red,"1,986th",123,93
"Mateus The Original Rose, Portugal",Rose Blend,"2,002nd",13,85
"Croft Vintage Port, Portugal",Port Blend Red,"2,063rd",119,91
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,572nd,"1,833",97
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,"4,166th",473,96
"Taylor Fladgate Vintage Port, Portugal",Port Blend Red,154th,168,95
"Taylor Fladgate Vargellas Vinha Velha Vintage Port, Portugal",Port Blend Red,"2,861st",365,95
"Quinta do Noval Vintage Port, Portugal",Port Blend Red,620th,166,94
"Quinta do Vesuvio 'Capela' Vintage Port, Portugal",Port Blend Red,"12,362nd",278,95
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Portuguese Red Blend,"5,170th",389,94
"Fonseca Vintage Port, Portugal",Port Blend Red,348th,153,94
"Quinta do Crasto Vinha Maria Teresa, Douro, Portugal",Portuguese Red Blend,"1,802nd",384,94
"W & J Graham's Vintage Port, Portugal",Port Blend Red,296th,177,94
"Quinta do Vale Meao Tinto, Douro, Portugal",Portuguese Red Blend,"1,106th",272,94
