Name,Type,Popularity,Price,Rating
"Taylor Fladgate Vintage Port, Portugal",Port Blend Red,154th,CA$ 168,95 / 100
"W & J Graham's Vintage Port, Portugal",Port Blend Red,296th,CA$ 177,94 / 100
"Dow's Vintage Port, Portugal",Port Blend Red,330th,CA$ 171,94 / 100
"Fonseca Vintage Port, Portugal",Port Blend Red,348th,CA$ 153,94 / 100
"Casa Ferreirinha 'Barca Velha', Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,484th,"CA$ 1,114",93 / 100
"Warre's Vintage Port, Portugal",Port Blend Red,534th,CA$ 160,93 / 100
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,572nd,"CA$ 1,833",97 / 100
"Quinta do Noval Vintage Port, Portugal",Port Blend Red,620th,CA$ 166,94 / 100
"Niepoort Vintage Port, Portugal",Port Blend Red,795th,CA$ 149,94 / 100
"Kopke Colheita Port, Portugal",Port Blend Red,892nd,CA$ 168,91 / 100
"P+S Prats & Symington Chryseia, Douro, Portugal",Touriga Franca - Touriga Nacional,979th,CA$ 145,93 / 100
"Taylor Fladgate Late Bottled Vintage Port, Portugal",Port Blend Red,"1,007th",CA$ 34,89 / 100
"Quinta do Vale Meao Tinto, Douro, Portugal",Portuguese Red Blend,"1,106th",CA$ 272,94 / 100
"Cockburn's Vintage Port, Portugal",Port Blend Red,"1,335th",CA$ 125,91 / 100
"Cartuxa Pera Manca Tinto, Alentejo, Portugal",Portuguese Red Blend,"1,357th",CA$ 754,93 / 100
"W & J Graham's Late Bottled Vintage Port, Portugal",Port Blend Red,"1,399th",CA$ 34,89 / 100
"Taylor Fladgate Quinta de Vargellas Vintage Port, Portugal",Port Blend Red,"1,691st",CA$ 97,92 / 100
"Sandeman Vintage Port, Portugal",Port Blend Red,"1,737th",CA$ 183,91 / 100
"Casa Ferreirinha Quinta da Leda, Douro, Portugal",Portuguese Red Blend,"1,760th",CA$ 84,92 / 100
"W & J Graham's Single Harvest Tawny Port, Portugal",Port Blend Red,"1,789th",CA$ 505,93 / 100
"Quinta do Crasto Vinha Maria Teresa, Douro, Portugal",Portuguese Red Blend,"1,802nd",CA$ 384,94 / 100
"Niepoort Charme Tinto, Douro, Portugal",Portuguese Red Blend,"1,824th",CA$ 108,91 / 100
"Quinta do Vesuvio Single Quinta Vintage Port, Portugal",Port Blend Red,"1,986th",CA$ 123,93 / 100
"Mateus The Original Rose, Portugal",Rose Blend,"2,002nd",CA$ 13,85 / 100
"Croft Vintage Port, Portugal",Port Blend Red,"2,063rd",CA$ 119,91 / 100
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,572nd,"CA$ 1,833",97 / 100
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,"4,166th",CA$ 473,96 / 100
"Taylor Fladgate Vintage Port, Portugal",Port Blend Red,154th,CA$ 168,95 / 100
"Taylor Fladgate Vargellas Vinha Velha Vintage Port, Portugal",Port Blend Red,"2,861st",CA$ 365,95 / 100
"Quinta do Noval Vintage Port, Portugal",Port Blend Red,620th,CA$ 166,94 / 100
"Quinta do Vesuvio 'Capela' Vintage Port, Portugal",Port Blend Red,"12,362nd",CA$ 278,95 / 100
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Portuguese Red Blend,"5,170th",CA$ 389,94 / 100
"Fonseca Vintage Port, Portugal",Port Blend Red,348th,CA$ 153,94 / 100
"Quinta do Crasto Vinha Maria Teresa, Douro, Portugal",Portuguese Red Blend,"1,802nd",CA$ 384,94 / 100
"W & J Graham's Vintage Port, Portugal",Port Blend Red,296th,CA$ 177,94 / 100
"Quinta do Vale Meao Tinto, Douro, Portugal",Portuguese Red Blend,"1,106th",CA$ 272,94 / 100
"Niepoort Vintage Port, Portugal",Port Blend Red,795th,CA$ 149,94 / 100
"Dow's Vintage Port, Portugal",Port Blend Red,330th,CA$ 171,94 / 100
"Wine & Soul Pintas Vintage Port, Portugal",Port Blend Red,"22,002nd",CA$ 130,93 / 100
"Wine & Soul Pintas Tinto, Douro, Portugal",Portuguese Red Blend,"3,977th",CA$ 166,94 / 100
"Taylor Fladgate Very Old Single Harvest Port, Portugal",Port Blend Red,"3,268th",CA$ 441,94 / 100
"Barbeito Malvasia, Madeira, Portugal",Malvasia,"3,451st",CA$ 762,93 / 100
"Blandy's Vintage Bual, Madeira, Portugal",Bual (Malvasia Fina),"2,430th",CA$ 788,93 / 100
"W & J Graham's Single Harvest Tawny Port, Portugal",Port Blend Red,"1,789th",CA$ 505,93 / 100
"Quinta do Vesuvio Single Quinta Vintage Port, Portugal",Port Blend Red,"1,986th",CA$ 123,93 / 100
"Croft Quinta da Roeda 'Serikos' Vintage Port, Portugal",Port Blend Red,"147,386th",CA$ 309,96 / 100
"P+S Prats & Symington Chryseia, Douro, Portugal",Touriga Franca - Touriga Nacional,979th,CA$ 145,93 / 100
"Niepoort Garrafeira Port, Portugal",Port Blend Red,"6,449th",CA$ 944,96 / 100
"Quinta do Vallado 'Vinha da Granja', Douro, Portugal",Portuguese Red Blend,"32,328th",CA$ 209,94 / 100
